quantity,value
four_founder_mean_weight_g,29.4
itp_male_control_6m_n,3395
itp_male_control_6m_mean_weight_g,40.43346093402062
itp_minus_founder_mean_g,11.033460934020624
itp_percent_above_founder_mean,37.52877868714499
lowest_itp_quarter_mean_weight_g,34.7914173495238
lowest_itp_quarter_percent_above_founder_mean,18.33815425008094
heaviest_founder_reported_mean_weight_g,32.0
