"analysis","landmark","sex","arms","rows","unique_mice","HR","lo","hi","p"
"90-day lag",6,"m",2,598,598,0.819911526697726,0.686194267363001,0.979685992124689,0.0288199768731031
"90-day lag",12,"m",21,7426,4745,0.918450010218095,0.861858890321288,0.978756999252113,0.00874784246962111
"90-day lag",18,"m",27,7823,4993,1.02297449697905,0.961790160735965,1.08805107828174,0.470371860835696
"90-day lag",24,"m",29,5708,3655,1.09384353614988,1.00903114197665,1.18578469167264,0.0293807290274724
"90-day lag",6,"f",2,646,646,1.13539334155377,0.945489601974388,1.3634396796672,0.173905593905275
"90-day lag",12,"f",11,3772,2590,0.981267417939396,0.904504397085101,1.06454512395129,0.64910230740796
"90-day lag",18,"f",12,3742,2503,0.980163126136098,0.901636917064714,1.06552841354868,0.638160460412736
"90-day lag",24,"f",14,3150,2192,1.01580610602423,0.929846165313041,1.10971264229361,0.728111960060516
