"sex","analysis","cells","control_clusters","hr_per_sd","ci_low","ci_high","p"
"m","within_cohort",219,39,0.9612954915203,0.933615568878895,0.989796071124779,0.00809723157925803
"m","shared_control_clustered",219,39,0.958976053517639,0.915117902183607,1.00493616071315,0.0779794693929788
"f","within_cohort",207,39,1.00926972532426,0.971707461093607,1.04828399414542,0.633489530222951
"f","shared_control_clustered",207,39,0.9606788369359,0.879213382330641,1.04969265286893,0.365211478766323
