"sex","arms","rows","unique_mice","deaths","HR","lo","hi","p"
"m",89,30862,14301,30213,0.950448378653681,0.913359617832539,0.989043201438141,0.012331888767362
"f",85,27348,12416,27198,1.02171942955776,0.98210068224216,1.06293642964646,0.286929093324059
