"panel","label","sex","n","HR","lo","hi","p"
"age","1.4","m",562,1.14602641712699,1.05071344596057,1.24998547777432,0.002093417174788
"age","1.4","f",437,0.989370468354368,0.898190807351455,1.0898062144926,0.828494755337803
"decomposition","1.4-month alone","m",539,1.16001091677003,1.05988726925578,1.26959287658064,0.00126896993431722
"decomposition","6-month alone","m",539,1.43554067157976,1.30899011129594,1.57432588831358,1.60876317054508e-14
"decomposition","1.4-month adjusted","m",539,0.966110020235281,0.870580117472955,1.0721225450316,0.516316779057278
"decomposition","6-month adjusted","m",539,1.46075005920192,1.31350172980659,1.62450546279264,2.74318002491975e-12
