"sex","timing","adjusted_for_w6","n_mice","events","cells","cohorts","hr","ci_low","ci_high","p","w6_hr","w6_ci_low","w6_ci_high","w6_p"
"m","primary",FALSE,11300,11101,207,16,0.969840956887701,0.945601027935213,0.994702262232836,0.0177265807085449,NA,NA,NA,NA
"m","primary",TRUE,11300,11101,207,16,1.0886480778306,1.06041750152453,1.11763021230826,2.35742108623058e-10,1.36004141950606,1.33011410261639,1.39064209539137,1.36500658008708e-161
"f","primary",FALSE,10521,10458,201,16,1.0283207112608,1.00910365131846,1.04790373498926,0.00371357473580368,NA,NA,NA,NA
"f","primary",TRUE,10521,10458,201,16,1.0323985323159,1.0131521494789,1.0520105297869,0.000897427849915827,1.11846509102245,1.0956809009161,1.1417230680848,1.53706184747844e-26
"m","treated_primary",TRUE,7905,7762,169,15,1.08669325287528,1.05286904103238,1.12160409302825,2.55934296406373e-07,1.34462846488989,1.30816743954924,1.38210572586575,6.16575076245839e-99
"m","after_6",TRUE,9994,9844,180,16,1.0993863846635,1.07276079549291,1.12667281267315,3.59465840590383e-14,1.3690217726381,1.33620046172761,1.40264927878706,5.51767337311793e-142
"m","at_or_after_12",TRUE,5393,5319,81,16,1.09102811130666,1.05226957298541,1.13121425366719,2.35038452630623e-06,1.37733454024285,1.33002509843807,1.42632679486562,4.58516152828907e-72
