"sex","n","HR_weight","lo","hi","p","HR_adjusted_maternal","adj_lo","adj_hi","adj_p"
"m",286,1.40340044089652,1.23822773359866,1.59060627061268,1.12851286441909e-07,1.4023879945394,1.23286351712774,1.59522287739534,2.67966591918838e-07
"f",251,1.14543617593172,0.993889022046893,1.32009108062286,0.0607456928254157,1.13681136885394,0.985395885407949,1.31149328659978,0.0787016170820688
