"label","sex","arms","unique_mice","HR","lo","hi","p"
"pubertal weight m","m",4,730,0.996557427154634,0.850989277610485,1.16702610919575,0.965857662481082
"pubertal weight f","f",2,553,1.02635593916633,0.860391410833036,1.22433406540179,0.772520232101021
