"analysis","landmark","sex","arms","rows","unique_mice","HR","lo","hi","p"
"published extenders",6,"m",2,606,606,0.811981540132205,0.679831997904469,0.969819048746975,0.0215534175929135
"published extenders",12,"m",21,7843,4983,0.913232728829829,0.858160277597048,0.971839455609923,0.0042349397581322
"published extenders",18,"m",27,8616,5431,1.02799877796131,0.968402442229845,1.09126272446876,0.364796643551399
"published extenders",24,"m",29,7064,4460,1.15287454024835,1.07089506149294,1.2411297365588,0.000156828093193119
"published extenders",6,"f",2,647,647,1.13745359675399,0.947435994435046,1.36558109715905,0.167275125977861
"published extenders",12,"f",11,3799,2606,0.983059034460642,0.906547381601621,1.06602819096705,0.679379853428898
"published extenders",18,"f",12,3930,2609,1.0020403867768,0.922226256937831,1.08876203553971,0.961611201610526
"published extenders",24,"f",14,3757,2544,1.0637310357009,0.978415910991463,1.15648540012672,0.147494349715769
