"quartile","comparison_rows","unique_mice","mean_control_weight","standardized_control_median","standardized_treated_median","gain_days","gain_pct","treatment_HR","treatment_lo","treatment_hi","treatment_p"
1,2434,1472,34.7914173495238,892,951,59,6.61434977578475,0.778142328820118,0.692718920398859,0.874099820390287,2.35739115115927e-05
2,2529,1538,39.6626654132584,829,913,84,10.1326899879373,0.622787891037047,0.557889980968494,0.695235208470748,3.32916177335145e-17
3,2499,1516,42.7792214935101,763,859,96,12.5819134993447,0.675348607969537,0.604882913136127,0.754023187597875,2.91454440096136e-12
4,2556,1554,47.0819317933348,673,810,137,20.3566121842496,0.604408598278505,0.540369749325215,0.676036647368153,1.23390017268231e-18
