"weight_age","sex","n","HR_per_SD","lo","hi","p"
6,"m",3799,1.39191275776992,1.34489741798882,1.44057167433627,2.3281594659967e-79
6,"f",3543,1.07713815957812,1.04157892276647,1.11391137959832,1.43459251440438e-05
12,"m",3469,1.35755536116449,1.30821725289672,1.40875420695276,6.51614388814022e-59
12,"f",3451,1.09155478725142,1.05480337512893,1.12958669043495,5.34802241206431e-07
18,"m",3019,1.12218155477426,1.0782902660704,1.16785941735781,1.48827883894139e-08
18,"f",3405,1.04956813125266,1.01402652627293,1.08635546861889,0.00591443955024084
24,"m",1927,0.843719602693985,0.801471556341585,0.888194674330654,8.9496495410596e-11
24,"f",2591,0.976428868082792,0.937918566386818,1.01652037670852,0.245284339917139
