cohort,group,init,weight_age,post_dosing,n_tx,diff_g,pct,p
C2004,4-OH-PBN,4.0,6,True,94,1.1624868082609632,3.55078913929121,0.06274780125633603
C2004,4-OH-PBN,4.0,12,True,92,1.4029466116015832,3.713091877756092,0.050698265509839205
C2004,4-OH-PBN,4.0,18,True,87,0.8640430542044613,2.246324969332277,0.20655182413917467
C2004,Aspirin,4.0,6,True,100,1.1726644875701795,3.5818766259599117,0.12884516666920315
C2004,Aspirin,4.0,12,True,97,1.4395688961431112,3.810017809328632,0.09020990400286016
C2004,Aspirin,4.0,18,True,94,0.9049579653602025,2.35269488469694,0.27840949312496677
C2004,NDGA,9.0,6,False,64,-3.2752631187442516,-10.004215641600135,0.004799338616520425
C2004,NDGA,9.0,12,True,100,-0.9580571151716802,-2.535630410560938,0.3333334261168617
C2004,NDGA,9.0,18,True,99,-1.3980014028353775,-3.6345011317081264,0.13682593096096224
C2004,NFP,4.0,6,True,97,2.002784632647155,6.117459459674506,0.0067552678707983455
C2004,NFP,4.0,12,True,95,1.5032767943417753,3.978629556485799,0.0709258971670341
C2004,NFP,4.0,18,True,90,2.0137355599610127,5.235276700577847,0.01810804378285647
C2005,CAPE_hi,4.0,6,True,277,0.003752497717392491,0.010710838950985895,0.8994255220192525
C2005,CAPE_hi,4.0,12,True,178,-1.0273469020253694,-2.3468208492511056,0.12435574922878265
C2005,CAPE_hi,4.0,18,True,250,0.8345385394049945,1.9606307094793336,0.22683177121107498
C2005,CAPE_hi,4.0,24,True,131,1.9961238262719256,4.76306413225095,0.02118684455288774
C2005,CAPE_lo,4.0,6,True,286,0.6887061508312006,1.965789514518933,0.19590627272950317
C2005,CAPE_lo,4.0,12,True,178,-0.2111798906020412,-0.4824089791193038,0.9030695498329747
C2005,CAPE_lo,4.0,18,True,243,-0.5108676816973785,-1.2002116354393007,0.5304055797268679
C2005,CAPE_lo,4.0,24,True,133,1.69291666206093,4.039564342564967,0.06343828484071827
C2005,Enal,4.0,6,True,278,-0.638679517652864,-1.8229973660388155,0.27878453274386433
C2005,Enal,4.0,12,True,163,-2.0097496323858866,-4.590973438241286,0.021679789652735974
C2005,Enal,4.0,18,True,250,-1.3711707990449973,-3.2213725904925523,0.03468715391814179
C2005,Enal,4.0,24,True,124,-1.3768963724781045,-3.285490428630099,0.14640383524980918
C2005,Rapa,20.0,6,False,275,-1.6147514098375217,-4.609021403659955,0.0015673038435472745
C2005,Rapa,20.0,12,False,181,-2.261557018076346,-5.166189873477289,0.0017580624906041538
C2005,Rapa,20.0,18,False,243,-3.172423710133603,-7.453162503439301,6.62658222980605e-07
C2005,Rapa,20.0,24,True,139,-0.9693385583380946,-2.3129936422085775,0.2567340411014982
C2006,Rapa,9.0,6,False,167,-0.05676766876528284,-0.1716838049381797,0.7377433022264793
C2006,Rapa,9.0,12,True,192,-0.8460171235702544,-2.135566633031407,0.06544307841343772
C2006,Rapa,9.0,18,True,166,-2.6325574553765665,-6.121247962296551,6.292149504674075e-05
C2006,Res_hi,12.0,6,False,179,0.5953586250860898,1.80055718828555,0.8395267306347384
C2006,Res_hi,12.0,12,True,191,0.012962093715223163,0.032719686234764477,0.5176263279322182
C2006,Res_hi,12.0,18,True,174,1.8925172753661734,4.40049940478474,0.045343164091521275
C2006,Res_lo,12.0,6,False,190,0.3560142359171081,1.0767022843077876,0.7729834955247786
C2006,Res_lo,12.0,12,True,197,-0.42779323109385253,-1.0798610627469887,0.3354308031289707
C2006,Res_lo,12.0,18,True,182,0.0032667701158062327,0.007595925351536079,0.8040621844338972
C2006,Sim_hi,10.0,6,False,186,0.5315546502867445,1.6075933163847456,0.4732650228347575
C2006,Sim_hi,10.0,12,True,207,-0.11405401350384173,-0.28790190980323765,0.5937670300263204
