cohort,group,site,sex,ctl_bw6,ctl_median,n_ctl,n_tx,log_hr,se,hr
C2009,ACA,UT,m,44.640404060606066,704.0,99,51,-1.2617236863190064,0.20595534744814256,0.28316551707441884
C2009,ACA,UT,f,34.88804328260869,865.5,92,44,-0.4128996310883765,0.1915778759365461,0.6617286964839155
C2009,MB,TJL,m,43.464646464646464,807.0,102,54,0.32810145219717457,0.1730375237278101,1.3883298142549874
C2009,MB,TJL,f,32.71666666666667,785.0,96,48,-0.05676384591389098,0.20137575455857737,0.9448171654572085
C2009,MB,UM,m,35.86105234736842,907.0,99,51,0.045731406093773866,0.1882755427614409,1.046793210916788
C2009,MB,UM,f,28.29325835955056,886.5,92,44,-0.3688607625166363,0.18789964077514512,0.6915216894870632
C2009,MB,UT,m,44.640404060606066,704.0,99,51,0.0018886548159179819,0.1752286743534586,1.001890439447766
C2009,MB,UT,f,34.88804328260869,865.5,92,44,-0.04011257518202867,0.18521058064406928,0.9606812841942157
C2009,Rapa_hi,TJL,m,43.464646464646464,807.0,102,54,-0.4631517850225735,0.1852411958230035,0.6292971073830551
C2009,Rapa_hi,TJL,f,32.71666666666667,785.0,96,48,-1.3584854717594061,0.26678536845915807,0.2570497914608735
C2009,Rapa_hi,UM,m,35.86105234736842,907.0,99,51,-0.5741413721312775,0.1990344678504987,0.5631882303733388
C2009,Rapa_hi,UM,f,28.29325835955056,886.5,92,44,-1.5233142888425018,0.2166616113226698,0.21798821248111316
C2009,Rapa_hi,UT,m,44.640404060606066,704.0,99,51,-0.5753651879321521,0.197743254602935,0.5624994132967239
C2009,Rapa_hi,UT,f,34.88804328260869,865.5,92,44,-1.639535010858527,0.2255997147774663,0.1940702618781583
C2009,Rapa_lo,TJL,m,43.464646464646464,807.0,102,54,0.13210492167673415,0.1707043616170984,1.1412280525466263
C2009,Rapa_lo,TJL,f,32.71666666666667,785.0,96,48,-1.1839843875627796,0.26695131418963564,0.30605685685843403
C2009,Rapa_lo,UM,m,35.86105234736842,907.0,99,51,-0.41157261395034483,0.18245113806669186,0.6626074047063638
C2009,Rapa_lo,UM,f,28.29325835955056,886.5,92,44,-0.8179564283479104,0.19874310231414677,0.4413326284386719
C2009,Rapa_lo,UT,m,44.640404060606066,704.0,99,51,-0.12807813096243373,0.17918363409721283,0.87978463803877
