"analysis","arms","rows","unique_mice","HR","lo","hi","p"
"male_weight_lowering",39,13851,8022,0.897457475456474,0.85258208097014,0.944694872470485,3.56721423194478e-05
"male_nonlowering",50,17011,9270,0.994245517027192,0.949555618095029,1.04103870198969,0.805719159980708
"male_class_contrast",89,30862,14301,0.902651769695561,0.8539554653373,0.954124951952503,0.000294954103811156
"female_weight_lowering",37,12275,7061,1.00170084394107,0.952595727976315,1.05333726709427,0.947165684774735
"female_nonlowering",48,15073,8228,1.0377216586578,0.990691315602119,1.08698463778598,0.11763559134245
"male_predosing_all",56,20726,10636,0.963878445104088,0.921459444627269,1.00825018654194,0.109114959109482
"male_predosing_weight_lowering",27,10018,6080,0.906346060222142,0.854251000210327,0.961618049821358,0.00113046340428514
"male_predosing_nonlowering",29,10708,6658,1.01982201200118,0.963994795797351,1.07888231419536,0.494383361856978
"male_predosing_class_contrast",56,20726,10636,0.888729650425605,0.826754963205825,0.955350045293871,0.00138123345826383
